ann_id	change_type	prem_id	premise	hypothesis	label
6	berridazketa	prem1	El sorteo se realiza ante un notario público y se lleva a cabo mediante un software para la asignación de los ganadores.	Se necesitan un ordenador y un notario para realizar el sorteo.	0
6	berridazketa	prem1	El sorteo se realiza ante un notario público y se lleva a cabo mediante un software para la asignación de los ganadores.	Normalmente es el mismo notario en todos los sorteos.	1
6	berridazketa	prem1	El sorteo se realiza ante un notario público y se lleva a cabo mediante un software para la asignación de los ganadores.	El sorteo se realiza introduciendo papeletas numeradas en un recipiente y sacando una al azar.	2
6	berridazketa	prem2	Enrike Eizagirre y Ane Sarasketa se presentan ofreciendo la emocionante danza de Arratia.	Enrique y Ana bailando pasos de baile.	0
6	berridazketa	prem2	Enrike Eizagirre y Ane Sarasketa se presentan ofreciendo la emocionante danza de Arratia.	Enrique Izaguirre y Ana Sarasqueta estaban comiendo helado.	2
6	berridazketa	prem2	Enrike Eizagirre y Ane Sarasketa se presentan ofreciendo la emocionante danza de Arratia.	Ane y Enrique tienen pantalones azules.	1
6	berridazketa	prem3	El gaztetxe Sorgintxulo fue ocupado en el año 1998 en los lugares vacíos de la iglesia de El Carmelo.	Se ofrecen varios conciertos en el gaztetxe Sorgintxulo.	1
6	berridazketa	prem3	El gaztetxe Sorgintxulo fue ocupado en el año 1998 en los lugares vacíos de la iglesia de El Carmelo.	La iglesia del Carmen era la propietaria del gaztetxe Sorgintxulo.	0
6	berridazketa	prem3	El gaztetxe Sorgintxulo fue ocupado en el año 1998 en los lugares vacíos de la iglesia de El Carmelo.	El gaztetxe Sorgintxulo fue cedido por el ayuntamiento a un grupo de jóvenes.	2
6	berridazketa	prem4	En el disco compuesto por nueve canciones se mezclan el rock pesado con el rock tradicional y rock liviano.	El disco tiene menos de diez canciones en total.	0
6	berridazketa	prem4	En el disco compuesto por nueve canciones se mezclan el rock pesado con el rock tradicional y rock liviano.	Los sonidos tranquilos predominan en el disco.	2
6	berridazketa	prem4	En el disco compuesto por nueve canciones se mezclan el rock pesado con el rock tradicional y rock liviano.	La duración de cada canción es de aproximadamente tres minutos, aunque también hay una de seis minutos.	1
6	berridazketa	prem5	"La película ""Ballerina"" se estrenará pasado mañana en las salas de cine, en euskera."	"""Ballerina"" es una película de animación hecha en Francia."	1
6	berridazketa	prem5	"La película ""Ballerina"" se estrenará pasado mañana en las salas de cine, en euskera."	"No se podrá ver ""Ballerina"" en el cine hasta dentro de un mes."	2
6	berridazketa	prem5	"La película ""Ballerina"" se estrenará pasado mañana en las salas de cine, en euskera."	La película Ballerina podrá verse en euskera.	0
6	berridazketa	prem6	Hoy fue publicado el nuevo trabajo del grupo Solte de Santutxu.	El grupo Solte de Santutxu ha realizado un nuevo trabajo.	0
6	berridazketa	prem6	Hoy fue publicado el nuevo trabajo del grupo Solte de Santutxu.	El grupo Solte desapareció hace tres años.	2
6	berridazketa	prem6	Hoy fue publicado el nuevo trabajo del grupo Solte de Santutxu.	El disco ha llegado después de estar parado durante los últimos cinco años.	1
6	berridazketa	prem7	Aunque el bertsolari Txirrita era un analfabeto, tenía una gran intuición para hacer lecturas de la información que había recopilado.	Txirrita no leyó ni un solo libro en toda su vida.	0
